Point;census2018
  Станично-Луганський район;47772
  Старобільський район;43691
  Троїцький район;19563
Львівська область;2529608
 Міське населення;1542118
 Сільське населення;987490
  Львів (міськрада);757883
  Борислав (міськрада);36099
  Дрогобич (міськрада);97159
  м. Моршин;5826
  м. Новий Розділ;28687
  м. Самбір;34859
  м. Стрий;59099
  м. Трускавець;28792
  Червоноград (міськрада);80930
  Бродівський район;58522
  Буський район;46435
  Городоцький (Львівська) район;68910
  Дрогобицький район;74471
  Жидачівський район;67034
  Жовківський район;110371
  Золочівський (Львівська) район;69188
  Кам'янка-Бузький район;57378
  Миколаївський (Львівська) район;63175
  Мостиський район;56881
  Перемишлянський район;38517
  Пустомитівський район;119255
  Радехівський район;47450
  Самбірський район;67881
  Сколівський район;47473
  Сокальський район;92066
  Старосамбірський район;77502
  Стрийський район;61882
  Турківський район;49604
  Яворівський район;126279
Миколаївська область;1141324
 Міське населення;779706
 Сільське населення;361618
  м. Миколаїв;486255
  м. Вознесенськ ;35065
  м. Очаків;14198
  м. Первомайськ;65607
  м. Южноукраїнськ;39830
  Арбузинський район;19834
  Баштанський район;37312
  Березанський район;23016
  Березнегуватський район;20065
  Братський район;17645
  Веселинівський район;22711
  Вознесенський район;29984
  Врадіївський район;17262
  Доманівський район;25090
  Єланецький район;15277
  Вітовський район;50191
  Казанківський район;19363
  Кривоозерський район;24361
  Миколаївський район;30005
  Новобузький район;30594
  Новоодеський район;33132
  Очаківський(1) район;8000
  Очаківський(2) район;7230
  Первомайський (Миколаївська) район;29550
  Снігурівський район;39747
Одеська область;2383075
 Міське населення;1594905
 Сільське населення;788170
  м. Одеса;1011494
  Балта (міськрада) ;32091
  Біляївка (міськрада);13961
  Білгород-Дністровський (міськрада);56241
  м. Ізмаїл;71594
  Іллічівськ (міськрада);72338
  м. Подільськ ;40710
  м. Теплодар;10234
  м. Южне;32369
  Ананьївський район;26305
  Арцизький район;44826
  Балтський район;8565
  Березівський район;33403
  Білгород-Дністровський район;60254
  Біляївський район;80863
  Болградський район;67976
  Великомихайлівський район;30632
  Іванівський (Одеська) район;26278
  Ізмаїльський район;51325
  Кілійський район;51541
  Кодимський район;28909
  Лиманський (Одеська) район ;70801
  Подільський район ;26185
  Окнянський район;19969
  Любашівський район;30048
  Миколаївський (Одеська) район;15897
  Овідіопольський район;83411
  Ренійський район;36903
  Роздільнянський район;57894
  Савранський район;18694
  Саратський район;44808
  Тарутинський район;40976
  Татарбунарський район;38685
  Захарівський район;20082
  Ширяївський район;26813
Полтавська область;1413829
 Міське населення;878939
 Сільське населення;534890
  м. Полтава;289544
  м. Гадяч;23790
 Горішні Плавні (міськрада)  ;54078
  м. Кременчук;221251
  м. Лубни;45706
  м. Миргород;39836
  Великобагачанський район;24342
  Гадяцький район;28574
  Глобинський район;42734
  Гребінківський район;22182
  Диканський район;18696
  Зіньківський район;33815
  Карлівський район;33441
  Кобеляцький район;41374
  Козельщинський район;19000
  Котелевський район;19417
  Кременчуцький район;39510
  Лохвицький район;41922
  Лубенський район;31072
  Машівський район;19160
  Миргородський район;30902
  Новосанжарський район;33752
  Оржицький район;23504
  Пирятинський район;30982
  Полтавський район;67339
  Решетилівський район;26043
  Семенівський район;24615
  Хорольський район;33715
  Чорнухинський район;11055
  Чутівський район;22467
  Шишацький район;20011
Рівненська область;1160647
 Міське населення;550925
 Сільське населення;609722
  м. Рівне;246574
  м. Дубно;37864
  м. Вараш ;42401
  м. Острог;15595
  Березнівський район;64055
  Володимирецький район;65272
  Гощанський район;35060
  Демидівський район;14462
  Дубенський район;45351
  Дубровицький район;47503
  Зарічненський район;35115
  Здолбунівський район;56737
  Корецький район;33398
  Костопільський район;64127
  Млинівський район;37395
  Острозький район;28455
  Радивилівський район;37036
  Рівненський район;92311
  Рокитнівський район;57583
  Сарненський район;104353
Сумська область;1094284
 Міське населення;754187
 Сільське населення;340097
  Суми (міськрада);267343
  Глухів (міськрада);33478
  Конотоп (міськрада);91146
  Лебедин (міськрада);25790
  Охтирка (міськрада);48309
  Ромни (міськрада);40506
  м. Шостка;75909
  Білопільський район;49697
  Буринський район;24193
  Великописарівський район;18450
  Глухівський район;22279
  Конотопський район;28035
  Краснопільський район;28040
  Кролевецький район;37579
  Лебединський район;19353
  Липоводолинський район;18357
  Недригайлівський район;23874
  Охтирський район;26113
  Путивльський район;27056
  Роменський район;32153
  Середино-Будський район;16048
  Сумський район;62722
  Тростянецький (Сумська) район;34402
  Шосткинський район;20171
  Ямпільський район;23281
Тернопільська область;1052312
 Міське населення;472721
 Сільське населення;579591
  м. Тернопіль;218653
  Бережани (міськрада) ;19484
  м. Кременець;21235
  м. Чортків;29057
  Бережанський район;20891
  Борщівський район;66399
  Бучацький район;63110
  Гусятинський район;59321
  Заліщицький район;46059
  Збаразький район;57083
  Зборівський район;41035
  Козівський район;37489
  Кременецький район;46584
  Лановецький район;29325
  Монастириський район;27151
  Підволочиський район;41868
  Підгаєцький район;18125
  Теребовлянський район;64833
  Тернопільський район;67093
  Чортківський район;44130
  Шумський район;33387
Харківська область;2694007
 Міське населення;2179498
 Сільське населення;514509
  м. Харків;1450082
  м. Ізюм;48368
  Куп'янськ (міськрада);55691
  Лозова (міськрада);64628
  Люботин (міськрада);23939
  Чугуїв (міськрада);33104
  Балаклійський район;80487
  Барвінківський район;21057
  Близнюківський район;18491
  Богодухівський район;38453
  Борівський район;16588
  Валківський район;31410
  Великобурлуцький район;21914
  Вовчанський район;45737
  Дворічанський район;17264
  Дергачівський район;94165
  Зачепилівський район;14955
  Зміївський район;70694
  Золочівський (Харківська) район;25747
  Ізюмський район;16909
  Кегичівський район;20847
  Коломацький район;6906
  Красноградський район;44003
  Краснокутський район;27645
  Куп'янський район;24160
  Лозівський район;28429
  Нововодолазький район;32196
  Первомайський (Харківська) район;15399
  Печенізький район;9834
  Сахновщинський район;20767
  Харківський район;177608
  Чугуївський район;46395
  Шевченківський район;20204
Херсонська область;1046981
 Міське населення;641402
 Сільське населення;405579
  Херсон (міськрада);329432
  Гола Пристань (міськрада);14466
  м. Каховка;36258
  Нова Каховка (міськрада);66915
  Бериславський район;47200
  Білозерський район;65792
  Великолепетиський район;16405
  Великоолександрівський район;25328
  Верхньорогачицький район;11638
  Високопільський район;14822
  Генічеський район;59058
  Голопристанський район;45258
  Горностаївський район;19469
  Іванівський (Херсонська) район;13630
  Каланчацький район;21348
  Каховський район;35434
  Нижньосірогозький район;15591
  Нововоронцовський район;20906
  Новотроїцький район;35223
  Скадовський район;47061
  Олешківський район;70981
  Чаплинський район;34766
Хмельницька область;1274409
 Міське населення;723032
 Сільське населення;551377
  м. Хмельницький;268417
  м. Кам'янець-Подільський;100281
  м. Нетішин;36921
  м. Славута;35617
